filename,cik,name,address,city,state,zip,ticker,exchange,subsidiaries
03/000095017023007902.htm,0001865494,"IO BIOTECH, INC.",Ole Maaløes Vej 3,Copenhagen N,,DK-2200,IOBT,The Nasdaq Stock Market LLC,
03/000188852423003416.htm,0001803858,,,,,,,,
03/000095017023005251.htm,0001109354,BRUKER CORPORATION,40 Manning Road,Billerica,MA,01821,BRKR,Nasdaq Global Select Market,
03/000155335023000245.htm,0001563298,ENERGY AND WATER DEVELOPMENT CORP.,7901 4th Street N,St Petersburg,Florida,33702,,,
03/000092963823001044.htm,0001891012,,,,,,,,
03/000168316823001959.htm,,,,,,,,,
03/000108404823000010.htm,0001084048,"ZIFF DAVIS, INC.",114 5th Avenue,New York,New York,10011,ZD,Nasdaq Stock Market LLC,zd20221231ex-211.htm
03/000143774923005974.htm,0001593548,"PLAYAGS, INC.","6775 S. Edmond St., Ste #300",Las Vegas,NV,89118,AGS,New York Stock Exchange,
03/000143774923008425.htm,0001213809,DYADIC INTERNATIONAL INC,"140 Intracoastal Pointe Drive, Suite 404",Jupiter,Florida,33477,DYAI,NASDAQ,
03/000126760223000027.htm,0001267602,"Alimera Sciences, Inc.",6310 Town Square,Alpharetta,GA,30005,ALIM,Nasdaq,
03/000155837023005284.htm,0001504167,"Timber Pharmaceuticals, Inc.","3 Mountain View Road, Suite 100",Warren,NJ,07059,TMBR,NYSE American,tmbr-20221231xex21d1.htm
03/000162828023009077.htm,0001522860,"ACUTUS MEDICAL, INC.",2210 Faraday Ave.,Carlsbad,CA,92008,AFIB,The Nasdaq Stock Market LLC,
03/000188852423003461.htm,0001589803,,,,,,,,
03/000149315223010092.htm,0001310630,China Foods Holdings Ltd.,2301A,Wanchai,,0000,,,
03/000149315223007533.htm,0001603207,Vascular Biogenics Ltd.,8 HaSatat St.,Modi’in,,7178106,VBLT,Nasdaq,
03/000188852423003579.htm,0001581653,,,,,,,,
03/000119312523072678.htm,0001826600,"Montauk Renewables, Inc.",5313 Campbells Run Road,Pittsburgh,PA,15205,MNTK,Nasdaq,
03/000184201223000002.htm,0001842012,,,,,,,,
03/000095017023008204.htm,0001781730,"THIRD COAST BANCSHARES, INC.",20202 Highway 59 North,Humble,Texas,77338,TCBX,The Nasdaq Stock Market LLC,
03/000178187023000004.htm,0001781870,"New Mountain Guardian III BDC, L.L.C.","1633 Broadway, 48th Floor",New York,New York,10019,,,
03/000095017023009037.htm,0001850079,Telesis Bio Inc.,10431 Wateridge Circle,San Diego,CA,92121,TBIO,Nasdaq Global Select Market,
03/000095017023007104.htm,0001846084,Global Crossing Airlines Group Inc,"4200 NW 36th Street,",Miami,Florida,33166,,,
03/000109181823000044.htm,0001310488,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",2020 General Booth Blvd,Virginia Beach,VA,23454,,,
03/000155837023005141.htm,,,,,,,,,
03/000092963823001049.htm,0001946318,,,,,,,,
03/000155198623000021.htm,0001551986,"9 METERS BIOPHARMA, INC.",4509 Creedmoor Road,Raleigh,North Carolina,27612,NMTR,The Nasdaq Stock Market LLC,
03/000191769823000015.htm,,,,,,,,,
03/000141057823000328.htm,0001267426,BCTC V ASSIGNOR CORP,"101 Arch Street, 13th Floor",Boston,Massachusetts,02110,,NONE,
03/000165495423003112.htm,0001093672,"Peoples Bancorp of North Carolina, Inc.",518 West C Street,Newton,North Carolina,28658,,,
03/000095017023005240.htm,0001720265,Grayscale® Zcash Trust (ZEC),"290 Harbor Drive, 4th Floor",Stamford,Connecticut,06902,ZCSH,,
03/000188852423003164.htm,0001679327,,,,,,,,
03/000141057823000299.htm,0001604191,"First Wave BioPharma, Inc.","777 Yamato Road, Suite 502",Boca Raton,Florida,33431,FWBI,Nasdaq,
03/000095017023005914.htm,0001758488,OneSpaWorld Holdings Limited,Office Number 2,Nassau,,00000,OSW,Nasdaq,
03/000147793223002029.htm,0001103833,CROWN EQUITY HOLDINGS INC.,11226 Pentland Downs Street,Las Vegas,NV,89141,,,
03/000149315223010036.htm,0001676580,VISION ENERGY CORPORATION,95 Christopher Columbus Drive,Jersey City,NJ,07302,,,
03/000143774923006810.htm,0000864240,"SYPRIS SOLUTIONS, INC.","101 Bullitt Lane, Suite 450",Louisville,Kentucky,40222,SYPR,Nasdaq,
03/000168316823001932.htm,,,,,,,,,
03/000155837023003362.htm,0001769617,"HarborOne Bancorp, Inc.",770 Oak Street,Brockton,Massachusetts,02301,HONE,"The NASDAQ Stock Market, LLC",
03/000147793223001430.htm,0001877461,1606 Corp.,2425 E. Camelback Rd Suite 150,Phoenix,AZ,85016,,,
03/000140282923000010.htm,0001402829,"ORION GROUP HOLDINGS, INC.","12000 Aerospace Avenue, Suite 300",Houston,Texas,77034,ORN,The New York Stock Exchange,
03/000155889123000017.htm,0001722556,BestGofer Inc.,401 Ryland St Ste 200-A,Reno,NV,89502,,,
